tier,P(b1|tier),P(b2|tier),P(b3|tier),P(b4|tier),P(b5|tier),mean(gpa),sd(gpa),mean(other),mean(others),prior
1,0.5714285714285714,0.2571428571428571,0.17142857142857143,0.0,0.0,0.9620714285714289,0.03378848162737163,4.242857142857143,2.8408802181856725,0.2
2,0.1694915254237288,0.3559322033898305,0.3220338983050847,0.11864406779661017,0.03389830508474576,0.875508474576271,0.0476670828666101,4.288135593220339,2.7231500994355975,0.2
3,0.0,0.13559322033898305,0.3898305084745763,0.3050847457627119,0.1694915254237288,0.8216101694915255,0.037236900936437875,4.423728813559322,3.1360165256783783,0.2
4,0.01694915254237288,0.01694915254237288,0.1016949152542373,0.4067796610169492,0.4576271186440678,0.7465254237288136,0.045336426677331794,4.254237288135593,2.776708671461922,0.2
5,0.0,0.0,0.018867924528301886,0.1509433962264151,0.8301886792452831,0.6941509433962264,0.03836484580085861,1.9245283018867925,0.8285542692354043,0.2
